SatisfiesConds,Places,Transitions,Arcs,Variables,Conditions,Boundedness,LtsStates,LtsArcs,CgRefStates,CgRefArcs,DeadTransitions,Deadlocks,Soundness,VerificationTime,LtsTime,CgRefTime,Id
True,4,5,10,1,2,True,5,5,5,5,0,True,False,104,65,26,b8fc8056-31b7-4176-b1d7-3d5de6a709f4
True,4,5,10,1,2,True,5,6,5,6,0,False,False,142,79,42,74023dac-5754-47a6-bdd1-60bbf8ca0b62
True,4,5,10,1,2,True,6,7,6,7,0,True,False,204,130,47,428377ce-68f5-4a76-95a2-d1bd0946d104
True,8,10,21,2,4,True,22,43,0,0,2,False,False,167,167,0,82624605-d1a6-4dfd-b018-e46c5629c4a0
True,8,10,20,2,5,True,22,38,0,0,2,True,False,117,117,0,d6a971f7-bed1-464e-97a6-39338c83d0f7
True,8,10,21,2,5,True,60,129,0,0,0,True,False,481,481,0,68b80f9a-89cf-4e10-844c-19340c4e7b78
True,12,15,32,3,7,True,53,118,0,0,1,False,False,530,530,0,7d805df9-d690-4ed4-9b3c-60a5da3e5bff
True,12,15,32,3,7,True,10,10,0,0,6,True,False,67,67,0,b5a03be8-a6ac-48c9-975a-5175ba49f0dc
True,12,15,32,3,7,True,88,159,0,0,0,False,False,575,575,0,be21b027-c055-4f37-89da-4a2b307273db
True,16,20,43,5,10,True,2294,4566,0,0,0,True,False,50065,50065,0,6342cbfd-1cdb-4db4-bcd2-3ac087681f20
True,16,20,43,5,10,True,42,49,0,0,4,True,False,148,148,0,5f1a525d-eccb-4650-9c0c-8b3a1b89c764
True,16,20,43,5,10,True,103,178,0,0,7,True,False,502,502,0,2506b47a-5fd0-45fb-aba8-ec8435017cf7
True,20,25,53,6,12,True,28,33,0,0,9,True,False,126,126,0,714e25aa-3ce5-482f-8cdd-222c2126630f
True,20,25,52,6,12,True,98,188,0,0,9,True,False,655,655,0,1d7059c2-214d-41de-97d0-62faf5a628c9
True,20,25,53,6,11,True,103,246,0,0,8,False,False,721,721,0,b6c604aa-2994-4bac-9ff5-3581efd4cb50
True,24,30,64,7,15,True,124,220,0,0,14,True,False,624,624,0,ad163bd6-77dc-4635-8f6f-2635a1634a31
True,24,30,63,7,15,True,53,90,0,0,7,True,False,358,358,0,24782c32-d348-41b0-a4ff-d61ea3f81c59
True,24,30,63,7,15,True,38,47,0,0,10,True,False,146,146,0,0a223947-6f71-4627-a465-e8a0f00cc4ee
True,28,35,74,8,17,True,267,514,0,0,13,True,False,1839,1839,0,a7bf4831-2b9c-40a3-beb4-c1e8fbf32b8f
True,28,35,75,8,17,True,106,173,0,0,8,True,False,546,546,0,e0a2a924-db85-40d6-8598-7143e3ad97ce
True,28,35,75,8,17,True,37,39,0,0,15,True,False,170,170,0,f1a584fc-45a4-4850-8c00-3485ad0bd2aa
True,32,40,86,10,20,True,2623,7421,0,0,17,True,False,42811,42811,0,512a6826-3fcb-4cfe-858e-d5719dfe9beb
True,32,40,86,10,20,True,172,354,0,0,14,True,False,1282,1282,0,56fc33d5-0b1d-44ab-87d8-3fc20b7f36c6
True,32,40,86,10,20,True,538,1093,0,0,11,True,False,6563,6563,0,ed8df7c4-9bfa-4fe5-8285-71b6bbd8196a
True,36,45,96,11,21,True,1142,3206,0,0,14,True,False,13286,13286,0,508c2d6a-ef64-4166-ac1d-c04d1b8f646f
True,36,45,96,11,22,True,2577,7044,0,0,10,True,False,36792,36792,0,4a707ada-937d-44ea-8e86-943ac52a7112
True,36,45,96,11,22,True,144,262,0,0,17,True,False,1049,1049,0,633ee0ec-85a4-46b9-8234-c588bb0bc1bd
True,40,50,106,12,25,True,1162,2229,0,0,20,True,False,12691,12691,0,94488a61-aba7-4727-81a7-b056ca649186
True,40,50,107,12,25,True,2793,8034,0,0,19,True,False,65430,65430,0,2093a45d-7484-464a-a451-9f37501fea13
True,40,50,107,12,25,True,85,128,0,0,24,True,False,629,629,0,ffa68b2a-0ba6-467b-b584-a476a3b7ba8d
True,44,55,118,13,26,True,9036,35265,0,0,23,True,False,280232,280232,0,422a3ca4-1c82-4262-8753-4ee2fdc9907f
True,44,55,118,13,27,True,2303,6748,0,0,14,True,False,41259,41259,0,4910defa-08e8-4ba4-8879-e1f99f9214ff
True,44,55,117,13,27,True,2675,7881,0,0,26,True,False,29839,29839,0,71d32a15-faa4-4dd1-b16e-5cfef239c811
True,48,60,129,15,30,True,978,2487,0,0,25,True,False,8933,8933,0,8d00d959-b95c-46b2-b20d-880dbdfbd8e3
True,48,60,129,15,30,True,298,709,0,0,18,True,False,2129,2129,0,f84a1807-c515-4485-ac3f-fe0492a18779
True,48,60,129,15,30,True,115,170,0,0,23,True,False,667,667,0,51b6c3bb-9244-4d62-821d-17bcd6e1607d
True,52,65,139,16,32,True,1792,5053,0,0,16,True,False,21325,21325,0,ffe6985a-47a4-4a94-93d6-96e0e78ce3a3
True,52,65,139,16,32,True,192,319,0,0,27,True,False,1151,1151,0,1ba80e69-62bf-4af3-b56c-1e889634492b
True,52,65,139,16,32,True,5195,13426,0,0,25,True,False,298072,298072,0,1633dcf0-2c65-4445-bc1e-9272a497cdbb
True,56,70,150,17,35,True,10079,30155,0,0,20,True,False,344387,344387,0,dbf404d7-5574-4dd7-9b4c-cf4b2d1bab68
True,56,70,150,17,34,True,2670,8088,0,0,27,True,False,55885,55885,0,a4b5fa6a-03f6-4a4d-ada1-6c2bf583d858
True,56,70,150,17,35,True,111,150,0,0,27,True,False,562,562,0,e28b7e79-b83d-4c0f-a284-e00108a98b07
True,60,75,161,18,37,True,5621,20917,0,0,36,True,False,144420,144420,0,dda23cec-dad5-47b4-b7e0-caacd2a0c599
True,60,75,161,18,37,True,205,396,0,0,34,True,False,1544,1544,0,4da315c8-c367-4099-bada-4c84a2362ba2
True,60,75,161,18,37,True,9722,30078,0,0,22,True,False,534121,534121,0,044dcc6a-80cf-40d8-804b-aba006198fd5
True,64,80,172,20,40,True,634,1296,0,0,33,True,False,6118,6118,0,1f06c04e-ea53-477a-9c48-e12887c46405
True,64,80,172,20,40,True,9865,28204,0,0,23,True,False,658257,658257,0,b052e194-8c9f-4dfd-a4ec-948e0894443e
True,64,80,172,20,40,True,11609,31577,0,0,36,True,False,990409,990409,0,b39a61a5-f673-4b49-85b8-99cd41890f0c
True,68,85,182,21,42,True,13668,52538,0,0,35,True,False,1146091,1146091,0,2b06f090-7437-477b-9b23-dc39b40d5730
True,68,85,182,21,42,True,5489,18332,0,0,33,True,False,185905,185905,0,32676277-4ce9-4b21-a032-d1ea154fb866
True,68,85,182,21,41,True,101,130,0,0,38,True,False,481,481,0,76a683ac-6fd2-4e5c-9568-b06f6b478d1b
True,72,90,193,22,45,True,617,1646,0,0,43,True,False,6224,6224,0,7f9c3c1c-e1ce-4faa-8f38-7a6e57e6df70
True,72,90,193,22,45,True,9305,25020,0,0,26,True,False,502605,502605,0,8e85e002-d37c-47c7-ba02-35dde38227b7
True,72,90,193,22,45,True,11995,39599,0,0,34,True,False,728242,728242,0,0f37d638-776f-4bb5-ba82-5fd077725003
True,76,95,203,23,47,True,15804,57369,0,0,37,True,False,641420,641420,0,7e51f096-709a-493d-88e1-ba7988b47358
True,76,95,204,23,46,True,85,87,0,0,45,True,False,478,478,0,afd24cb5-3f37-4b9a-a65e-4d30be5a962f
True,76,95,204,23,46,True,6395,18015,0,0,46,True,False,289789,289789,0,b1436e4a-19fe-4f28-8350-9b342c045065
True,80,100,213,25,50,True,94,93,0,0,50,True,False,528,528,0,7dd1b3d0-4166-4110-ab04-168c49da77c8
True,80,100,215,25,50,True,374,644,0,0,41,True,False,3704,3704,0,cea1e5f9-3fc4-4959-ae75-9ad1ccbdb338
True,80,100,215,25,50,True,1112,2656,0,0,58,True,False,16581,16581,0,f162939b-1440-401c-af90-697ba334405f
